"Philips 272S4LPJCB 27” WQHD LCD Monitor, 2560 x 1440, 2ms, 350 cd/m², DVI-D, VGA, MHL-HDMI, DisplayPort, Built-in Speakers"	"Philips"	"$479.99"	"$9.99 Shipping"
"Open Box: Dell UltraSharp U2515H 25"" 6ms WQHD  Widescreen LED Backlight LCD Monitor IPS panel  350 cd/m2, HDMI/MHL, DisplayPort, USB3.0Hub, Height&Pivot adjustable"	"DELL"	"$479.99"	"$9.99 Shipping"
"ASUS MX299Q 29"" 5ms (GTG) AH-IPS HDMI Widescreen LCD/LED Monitor, 300 cd/m2 DCR 80,000,000:1, Built-in Speakers, 100% sRGB Color Saturation, HDMI/MHL, DisplayPort, Dual-link DVI-D"	"ASUS"	"$489.99"	"$19.99 Shipping"
"ViewSonic VX2475Smhl-4K 24"" 3840 x 2160 (4K) PLS Monitor, 1000:1, 300cd/m2, HDMI & HDMI MHL Display Port, Built-in Internal Speaker, VESA Mountable"	"ViewSonic"	"$494.99"	"Free Shipping"
"ASUS PB287Q Black 28"" 1ms (GTG) HDMI Widescreen LED Backlight LCD Monitor"	"ASUS"	"$499.99"	"Free Shipping"
"ASUS PB Series PB278Q 27"" 5ms (GTG) WQHD HDMI Widescreen LED Monitor 300 cd/m2 80,000,000:1 Built-in Speakers, Height & Pivot Adjustable"	"ASUS"	"$499.99"	"$12.99 Shipping"
"ViewSonic VX2778-smhd 27"" 2560 x 1440(2K) LCD Monitor, 1000:1, 350cd/m2, HDMI Display Port, Built-in Internal Speaker, VESA Mountable"	"ViewSonic"	"$499.99"	"Free Shipping"
"Refurbished: Refurbished: ASUS PB287Q Black 28"" 4K UHD 1ms 10-bit HDMI Widescreen LED Backlight LCD Monitor height&Pivot adjustable 300 cd/m2 100,000,000:1"	"ASUS"	"$499.99"	"$14.99 Shipping"
"LG 29UC88-B Black 29"" 5ms HDMI Widescreen LED Backlight LCD Monitor IPS"	"LG Electronics"	"$499.99"	"Free Shipping"
"PHILIPS 298X4QJAB/27 29"" 5ms HDMI Widescreen LED Backlight LCD Monitor AH-IPS"	"Philips"	"$499.99"	"Free Shipping"
"BenQ Designer PD2700Q 27"" QHD 2560x1440(2K) IPS Monitor, 12ms(GTG), 100% sRGB and Rec. 709 Color Space, VESA Mountable, Height Adjustable, CAD/CAM Mode, DualView Function"	"BenQ"	"$499.99"	"$14.99 Shipping"
